review,rating,source,date,bank
የዚህ አፕ ተጠቃሚ ነበርኩ ያለሁት ከሀገር ውጭ ነው እና እየተጠቀምኩበት ሳለ አብደት አድርጊ አለኝ ሳረገው ፓስወርድ እንዴ አድስ ጠየቀኝ እንዴው እኔ አለሁበት ሀገር ሆኘ መስተካከል ከቻለ ተባበሩኝ በጣም አስፈላጊዬ ነው ::,5,Google Play,2025-09-06 00:00:00,CBE
it's the best money transfer app ever,5,Google Play,2025-09-06 00:00:00,CBE
it is nice,5,Google Play,2025-09-05 00:00:00,CBE
user friendly. best.,5,Google Play,2025-09-05 00:00:00,CBE
🙏,5,Google Play,2025-09-05 00:00:00,CBE
አሪፍ,5,Google Play,2025-09-05 00:00:00,CBE
best app!!!,5,Google Play,2025-09-05 00:00:00,CBE
"It is good app and really user friendly , but it not possible to start service after the app is uninstalled or device phone is changed. So please make it easy for us, after once you set us the requirements in your office we should have to use it only by install and launch it. We do not have to visit the near by branch office every time for such silly businesses but important things. in addition to that why is that for hidding senders name or account number How can I know who tranfers to me???",4,Google Play,2025-09-05 00:00:00,CBE
very good app,5,Google Play,2025-09-05 00:00:00,CBE
best,5,Google Play,2025-09-05 00:00:00,CBE
jabirabdala,5,Google Play,2025-09-04 00:00:00,CBE
unfair cost of transportations... what a shame!!!,1,Google Play,2025-09-04 00:00:00,CBE
"I think it is a good app to use easily. However, I have one more comment: the app does not automatically sync or update the balance in real time. Please review this issue. For example, when someone transfers money, the receiver's app does not sync automatically. It requires the user to manually initiate an update to see the current balance.",4,Google Play,2025-09-04 00:00:00,CBE
WAW!!! I AM PROUD!!! MY STRONG BANK WORKS AT BEST EVEN IN A REMOTE LOCATION HERE IN MALABO (ECUATORIAL GUINEA). MEWOLID MUBARAK CBE!!!,5,Google Play,2025-09-04 00:00:00,CBE
zinaa Ahmed,5,Google Play,2025-09-04 00:00:00,CBE
absolutely excellent,5,Google Play,2025-09-04 00:00:00,CBE
nice,4,Google Play,2025-09-03 00:00:00,CBE
Good,5,Google Play,2025-09-03 00:00:00,CBE
amazing app,5,Google Play,2025-09-03 00:00:00,CBE
perfect and easy,5,Google Play,2025-09-03 00:00:00,CBE
