review,rating,source,date,bank
Horrible customer service and app crashes Horrible!!,1,Google Play,2025-01-15 00:00:00,BoA
I love it,5,Google Play,2025-01-14 00:00:00,BoA
Best,5,Google Play,2025-01-14 00:00:00,BoA
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,Google Play,2025-01-13 00:00:00,BoA
Good🙏,5,Google Play,2025-01-12 00:00:00,BoA
Like to much,5,Google Play,2025-01-11 00:00:00,BoA
Thank you,5,Google Play,2025-01-10 00:00:00,BoA
Perfect,5,Google Play,2025-01-09 00:00:00,BoA
The best of best,5,Google Play,2025-01-09 00:00:00,BoA
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,Google Play,2025-01-07 00:00:00,BoA
Boa,5,Google Play,2025-01-06 00:00:00,BoA
Great 👍,5,Google Play,2025-01-04 00:00:00,BoA
Fast and suitable for the customers.,5,Google Play,2025-01-04 00:00:00,BoA
Good 👍,5,Google Play,2025-01-03 00:00:00,BoA
Good app and helpful,5,Google Play,2025-01-03 00:00:00,BoA
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,Google Play,2025-01-03 00:00:00,BoA
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,Google Play,2025-01-02 00:00:00,BoA
It doesn't work at all.,2,Google Play,2025-01-02 00:00:00,BoA
this app is not available,1,Google Play,2025-01-02 00:00:00,BoA
Best,5,Google Play,2025-01-01 00:00:00,BoA
Wow what amazing,5,Google Play,2024-12-30 00:00:00,BoA
love it,5,Google Play,2024-12-30 00:00:00,BoA
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,Google Play,2024-12-30 00:00:00,BoA
Lemn embi yilal??,5,Google Play,2024-12-30 00:00:00,BoA
Good,5,Google Play,2024-12-30 00:00:00,BoA
It's useless app downgraded.,1,Google Play,2024-12-29 00:00:00,BoA
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,Google Play,2024-12-27 00:00:00,BoA
Nice,5,Google Play,2024-12-26 00:00:00,BoA
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,Google Play,2024-12-24 00:00:00,BoA
አይሰራም ሼም ነው፤,1,Google Play,2024-12-23 00:00:00,BoA
Not that much bad,3,Google Play,2024-12-22 00:00:00,BoA
Fine,5,Google Play,2024-12-21 00:00:00,BoA
The dirtiest application ever seen...,1,Google Play,2024-12-20 00:00:00,BoA
Nic ap,5,Google Play,2024-12-19 00:00:00,BoA
The forest app ever,1,Google Play,2024-12-19 00:00:00,BoA
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,Google Play,2024-12-19 00:00:00,BoA
Bank of abissena,1,Google Play,2024-12-17 00:00:00,BoA
Good,3,Google Play,2024-12-16 00:00:00,BoA
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,Google Play,2024-12-16 00:00:00,BoA
GOOD,5,Google Play,2024-12-15 00:00:00,BoA
The worst banking app ever. Never works!,1,Google Play,2024-12-14 00:00:00,BoA
Poorly functioning app,3,Google Play,2024-12-13 00:00:00,BoA
Very nice,5,Google Play,2024-12-13 00:00:00,BoA
Your system is the worst you should do better😡😡😡😡😡😡,2,Google Play,2024-12-11 00:00:00,BoA
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,Google Play,2024-12-10 00:00:00,BoA
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,Google Play,2024-12-08 00:00:00,BoA
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",1,Google Play,2024-12-07 00:00:00,BoA
Nice,5,Google Play,2024-12-07 00:00:00,BoA
